id,focus,signal,slack,drag,confidence,score,lane,kind,invariant
g001,trust boundary,34,18,8,75,272,ship,baseline,monotonic-signal
g002,claim drift,83,18,30,99,423,ship,edge,drag-penalty
g003,replay exposure,111,20,21,64,459,ship,recovery,confidence-floor
g004,policy width,84,59,18,103,540,ship,negative,lane-boundary
g005,trust boundary,30,46,18,41,228,ship,baseline,monotonic-signal
g006,claim drift,51,42,41,100,355,ship,edge,drag-penalty
g007,replay exposure,65,42,33,48,309,ship,recovery,confidence-floor
g008,policy width,31,10,9,27,149,watch,negative,lane-boundary
g009,trust boundary,106,31,20,21,382,ship,baseline,monotonic-signal
g010,claim drift,103,44,27,65,473,ship,edge,drag-penalty
g011,replay exposure,105,18,11,92,513,ship,recovery,confidence-floor
g012,policy width,65,43,25,67,365,ship,negative,lane-boundary
g013,trust boundary,49,23,8,59,295,ship,baseline,monotonic-signal
g014,claim drift,44,15,27,59,226,ship,edge,drag-penalty
g015,replay exposure,89,14,17,21,303,ship,recovery,confidence-floor
g016,policy width,115,51,34,92,563,ship,negative,lane-boundary
g017,trust boundary,88,37,44,89,428,ship,baseline,monotonic-signal
g018,claim drift,78,67,9,49,448,ship,edge,drag-penalty
g019,replay exposure,76,50,35,34,326,ship,recovery,confidence-floor
g020,policy width,79,44,7,74,459,ship,negative,lane-boundary
g021,trust boundary,84,8,16,98,432,ship,baseline,monotonic-signal
g022,claim drift,90,63,43,63,436,ship,edge,drag-penalty
g023,replay exposure,52,23,37,102,332,ship,recovery,confidence-floor
g024,policy width,81,40,35,40,333,ship,negative,lane-boundary
g025,trust boundary,55,40,15,99,413,ship,baseline,monotonic-signal
g026,claim drift,89,19,6,47,387,ship,edge,drag-penalty
g027,replay exposure,66,11,45,26,182,watch,recovery,confidence-floor
g028,policy width,102,44,45,20,344,ship,negative,lane-boundary
g029,trust boundary,79,28,26,64,369,ship,baseline,monotonic-signal
g030,claim drift,115,23,18,91,537,ship,edge,drag-penalty
g031,replay exposure,93,23,36,66,385,ship,recovery,confidence-floor
g032,policy width,75,25,5,58,381,ship,negative,lane-boundary
g033,trust boundary,36,64,12,58,328,ship,baseline,monotonic-signal
g034,claim drift,64,51,38,20,258,ship,edge,drag-penalty
g035,replay exposure,37,47,10,91,367,ship,recovery,confidence-floor
